------ラジオ------
https://simul.drdi.st.nhk/live/3/joined/master.m3u8　「Radio,日本/NHK AM」
https://simul.drdi.st.nhk/live/5/joined/audio/media.m3u8　「Radio,日本/NHK FM」
https://bigrradio.cdnstream1.com/5182_128?listenerid=ea4ef9d7-dc2d-496b-9f18-5bbd5ca7923a&amp;cb=974096.mp3 「Radio,USA/Big R Radio-70s FM」
https://stream1.rcast.net/72991 「Radio,USA/San Francisco's 70s HITS」
https://classicrock.stream.laut.fm/classicrock 「Radio,Deutsch/Classic Rock」
https://streams.cbnradio.com/news-128K?app=onlineradiobox 「Radio,USA/CBN News」
https://www.ophanim.net:8444/s/9780 「Radio,USA/Side Street Radio」
https://s4.radio.co/s44e9ca299/listen 「Radio,USA/Country Joy」
https://streaming.live365.com/2158_128.mp3 「Radio,USA/Houston Blues Radio」
https://streaming.live365.com/b75154_128mp3 「Radio,USA/Smooth Jazz 247」
https://streams.cbnradio.com//southern-gospel-128K 「Radio,USA/CBN Southern Gospel」
https://cdn.onlyhitsradio.net/tophits 「Radio,USA/Only Hits world」
https://cdn.onlyhitsradio.net/onlyhits 「Radio,USA/Only Hits US Billboard」
https://online.hitfm.ua/HitFM 「Radio,Ukraine/Хіт FM96.4」
https://cdn.onlyhitsradio.net/japan 「Radio,USA/Only Hits Japan」
https://cdn.onlyhitsradio.net/kpop_64 「Radio,USA/Only Hits K-Pop」
https://listen.openstream.co/4457/audio 「Radio,France/ABC Lounge Radio」
https://stream.zeno.fm/mpkpe4f0etzuv 「Radio,UK/The Hit Network Extra」
https://stream.ginnet.cloud/live0119lo-p4rb/_definst_/fm1043/playlist.m3u8 「Radio,台湾/Gogo Radio FM 104.3(桃園)」
https://stream.zeno.fm/g372rxef798uv 「Radio,India/Retro Bollywood」
https://radio.avazfarsi.com:8000/radio.mp3「Radio,Iran(USA)/Radio AvazFarsi」
https://classic-radio.stream.laut.fm/classic-radio 「Radio,Deutsch/Classic Radio」
https://media-ssl.musicradio.com/ClassicFM 「Radio,UK/Classic FM」
------邦楽------
https://www.youtube.com/watch?v=B1NhGDoZs8k   「藤木孝,24000のキッス (1961)」　#249ea5　地平線#c06894　音量-18%
https://www.youtube.com/watch?v=1Xeoa8k-iKc   「ジュリー藤尾,遠くへ行きたい (1962)」
https://www.youtube.com/watch?v=IA2eK1pcvM8   「THE MAMAS & THE PAPAS,California Dreamin (1965)」　#226695　地平線#2ec28d　雲1
https://www.youtube.com/watch?v=WBGxcdX5xo4   「菅原洋一,知りたくないの (1965)」　#682a87　地平線#289a75　星
https://www.youtube.com/watch?v=4zbAHjZtJMU   「加山雄三,夜空の星 (1966)」　#0d0e1a　地平線#1d3940　夜　星
https://www.youtube.com/watch?v=iHCXVGkDeAs   「山本直純,マグマ大使 (1966)」　#d36c3a　地平線#63473f
https://www.youtube.com/watch?v=_gQ4KIo0iHs   「三波春夫,世界の国からこんにちは (1967)」　
https://www.youtube.com/watch?v=24BD_hR0uaA   「ハニー・ナイツ,妖怪人間ベム (1968)」　#3b304e　地平線#183039　星
https://www.youtube.com/watch?v=dTVXfrLsp7A   「新田洋,タイガーマスク (1969)」
https://www.youtube.com/watch?v=oSJhlPyVqMY   「藤圭子,圭子の夢は夜ひらく (1970)」
https://www.youtube.com/watch?v=K2ey4ACwKEY   「渥美清,男はつらいよ (1970)」　#8233ac　地平線#b450c1　雲1
https://www.youtube.com/watch?v=zeyE7w5rfTw   「ちあきなおみ,夜間飛行 (1970)」　#060606　星　夜
https://www.youtube.com/watch?v=2E_SZAaLDss   「藤岡弘,レッツゴー!! ライダーキック (1971)」　#299c25　地平線#a68a36
https://www.youtube.com/watch?v=XZt4NtKmj9g   「チャーリー・コーセイ,ルパン三世主題歌II (1971)」　#4c823e　地平線#7da441　雲1
https://www.youtube.com/watch?v=rFJgSg9XOZw   「五木ひろし,よこはま・たそがれ (1971)」
https://www.youtube.com/watch?v=y1KP9qhC_78   「ちあきなおみ,喝采 (1972)」　#428658　地平線#43ac7b　雲1
https://www.youtube.com/watch?v=3mIbWMIGkMM   「三善英史,雨 (1972)」　#36789e　地平線#c1a450　雨　雲2
https://www.youtube.com/watch?v=LG39QFOm-hA   「美川憲一,さそり座の女 (1972)」　
https://www.youtube.com/watch?v=3_AxR3tSkMU   「青い三角定規,太陽がくれた季節 (1972)」
https://www.youtube.com/watch?v=hrcI77tn2lo   「水木一郎,バビル2世 (1973)」
https://www.youtube.com/watch?v=WRZ7tS5TM20   「キャロル,ファンキー・モンキー・ベイビー (1973)」　#ad499c　地平線#bd6390　雲1
https://www.youtube.com/watch?v=oWOaVLn-vB4   「中村雅俊,ふれあい (1973)」　#3d60ba　地平線#7087cb　雲1
https://www.youtube.com/watch?v=vhAP8dCS5s4   「井上陽水,氷の世界(1973)」 #a8dddf　地平線#fdfdfd
https://www.youtube.com/watch?v=Y-zYeL3982o   「井上陽水・忌野清志郎,帰れない二人(1973)」　#7733a1　地平線#948826　星
https://www.youtube.com/watch?v=HGnjd3PZsos   「和田アキ子,古い日記 (1974)」　#f2dcb8　地平線#fdfffb　雲1
https://www.youtube.com/watch?v=x7ty5n2rpqQ   「前川陽子,魔女っ子メグちゃん (1974)」　#f8d57a　地平線#ba9baa　星
https://www.youtube.com/watch?v=j1A-NMEoDAI   「サディスティック・ミカ・バンド,タイムマシンにおねがい (1974)」　#4cd5f4　地平線#df6db7
https://www.youtube.com/watch?v=8RxJBv-0ERo   「堺正章,街の灯り (1974)」　#9644c8　地平線#675b81　星
https://www.youtube.com/watch?v=zm3FidE9U0w   「森進一,襟裳岬 (1974)」　#a54b91　地平線#bd6892　雲1
https://www.youtube.com/watch?v=JegrSN_Y-5w   「野口五郎,私鉄沿線 (1975)」
https://www.youtube.com/watch?v=4kavnmW3EqA   「太田裕美,木綿のハンカチーフ (1975)」　#4263b7　地平線#7487c6　雲1
https://www.youtube.com/watch?v=_YuN93Gb2QM   「ダウン・タウン・ブギウギ・バンド,港のヨーコ・ヨコハマ・ヨコスカ (1975)」　#2891a0　地平線#45cabd　　雲1
https://www.youtube.com/watch?v=Ppy3lKkObhs   「沢田研二,時の過ぎゆくままに (1975)」　#7232b5　地平線#8257cf　雲1
https://www.youtube.com/watch?v=yoaD6-tcORs   「布施明,シクラメンのかほり (1975)」　#925129　地平線#b77f41　雲1
https://www.youtube.com/watch?v=6zqHleD97go   「清水健太郎,失恋レストラン (1976)」　#d09ff6　地平線#676cbd　星
https://www.youtube.com/watch?v=VPoGuaH29MQ   「森田童子,ぼくたちの失敗 (1976)」　#43d1f0　地平線#4dce7e
https://www.youtube.com/watch?v=i-BquuLZP7M   「森田公一とトップギャラン,青春時代 (1976)」
